,,,,,,Incorrect,Correct(ed),Fixed Error,Unable to Identify,Calculate OZ into lbs >,21.00,1.31,< lbs in % will appear here,CA Shipment Complete,In BC,Sent Eshp,Sent Rutherford,Val. Ent. Compl.,,,,,,,,$0.00,,,,,,,,,,,,,,
POA,Notes,Date Processed,Congsinee ID No.,Content Photo Link,Label Photo Link,Shipment ID,Consignee Name,Consignee Address1,Consignee Address2,Consignee City,Consignee Province,Consignee Postal Code,Product Number,Product Description,Quantity,Price,Total Price,Country of Origin,HS Code,Net Weight,Weight Unit,Number of Packages,Currency,Package ID,PARS No.,b2m_wlr_imp_code,Importer Name,Importer Address 1',Importer Address 2,Importer City,Importer Province,Importer Postal Code,Importer Business No.,Vendor Name,Vendor Address1,Vendor Address2,Vendor City,Vendor State,Vendor Country,Packaging Unit
NO,,08/06/19,40548,https://drive.google.com/open?id=1t3m4Gp7pVxdTNroKj5137tri8DCC_QB_,https://drive.google.com/open?id=1GiSeWKbRXw35hOlDTB8rn-DK4eVp0Dq1,40548_080619_1,Creative Media,1655 Tupello Way,,Ottawa,ON,K4A 1V6,,RET TO CAN - Decal/ Car Stickers,2,$2.80,5.59,CN,9814,0.06,LBR,1,USD,,,,Creative Media,1655 Tupello Way,,Ottawa,ON,K4A 1V6,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,,08/02/19,41526,https://drive.google.com/open?id=1wsDi6jW4UFLymPborXzHMoNKxESaySoD,https://drive.google.com/open?id=1UMhHJFHUkcDe6TR36PRwMA3BGoMa0duF,41526_080219_52,"Crusso Inc,",108 barnwell dr,,scarborough,ON,M1V 1V9,,RET TO CAN - Gloves,1,$18.00,18,CN,9814,0.23,LBR,1,USD,,,,"Crusso Inc,",108 barnwell dr,,scarborough,ON,M1V 1V9,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
NO,,08/02/19,41526,https://drive.google.com/open?id=1h8Fyhln878UQIwwoY9e9JRd5EVrdj06F,https://drive.google.com/open?id=1nnuB0MwdFMfBLRJt2tCP9O6_ExGTPdUx,41526_080219_53,"Crusso Inc,",108 barnwell dr,,scarborough,ON,M1V 1V9,,RET TO CAN - Gloves,5,$14.40,72,CN,9814,0.44,LBR,1,USD,,,,"Crusso Inc,",108 barnwell dr,,scarborough,ON,M1V 1V9,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
NO,,08/05/19,41526,https://drive.google.com/open?id=1uQQLhy60Jc2ZlpO2CCisaesDHEhvNMco,https://drive.google.com/open?id=1uv4OYHCz2ZDTV11C2i5FxZOH9ItMa3f6,41526_080519_18,"Crusso Inc,",108 barnwell dr,,scarborough,ON,M1V 1V9,,RET TO CAN - Helmet Liner,1,$13.00,13,CN,9814,0.25,LBR,1,USD,,,,"Crusso Inc,",108 barnwell dr,,scarborough,ON,M1V 1V9,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
NO,,08/05/19,41526,https://drive.google.com/open?id=19nKNDn7lcYTxaiddbkg8SPAxQLrFhwJ1,https://drive.google.com/open?id=1Ti0vxwhPzCXb5rTG3nN6yYSmZuofgy1E,41526_080519_19,"Crusso Inc,",108 barnwell dr,,scarborough,ON,M1V 1V9,,RET TO CAN - Car Mount Kit,1,$16.00,16,CN,9814,0.25,LBR,1,USD,,,,"Crusso Inc,",108 barnwell dr,,scarborough,ON,M1V 1V9,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
NO,,08/07/19,41526,https://drive.google.com/open?id=1ym7YwjYPMy5ueLJ7yTa2VSpKD6mjsEMd,https://drive.google.com/open?id=1aYcCdZUifWl4m6aIAWeOF2oNLzotybrl,41526_080719_23,"Crusso Inc,",108 barnwell dr,,scarborough,ON,M1V 1V9,,RET TO CAN - Gloves,1,$18.00,18,CN,9814,0.25,LBR,1,USD,,,,"Crusso Inc,",108 barnwell dr,,scarborough,ON,M1V 1V9,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
NO,,08/08/19,41526,https://drive.google.com/open?id=1DksrzFeIFkdeitesiCJvkOtr0D8kCgDG,https://drive.google.com/open?id=1X5po68sdaUjNeAUr76mPUp2VziIQCNZ1,41526_080819_10,"Crusso Inc,",108 barnwell dr,,scarborough,ON,M1V 1V9,,RET TO CAN - Vent Mount Kit,1,$16.00,16,CN,9814,0.25,LBR,1,USD,,,,"Crusso Inc,",108 barnwell dr,,scarborough,ON,M1V 1V9,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,,08/07/19,1748,https://drive.google.com/open?id=1NlfTMWl8LnmAXVIdeBZV6Wjbj6GZKyD-,https://drive.google.com/open?id=1WYeMCliJR9ZbYg1V5VjwTrRzLCERgmpJ,1748_080719_27,Curious Beaver Inc.,1 Steelcase Rd W,Unit 35,Markham,ON,L3R 0T3,,RET TO CAN - Jed North Apparel,1,$10.95,10.95,CN,9814,0.5,LBR,1,USD,,,,Curious Beaver Inc.,1 Steelcase Rd W,Unit 35,Markham,ON,L3R 0T3,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
